INCIDENT_NUMBER,UCR_CATEGORY,TYPE_OF_FIREARM,FIREARM_MANUFACTURER,FIREARM_MODEL,FIREARM_CALIBER,RECOVERY_DATE,RECOVERY_BLOCK_ADDRESS,CITY,state,RECOVERY_ZIPCODE,PERSON_RECOVERED_FROM_RACE,PERSON_RECOVERED_FROM_SEX,PERSON_RECOVERED_FROM_AGE,year,ObjectId
80-17-006900,WPNS LAW VIOLATION,NULL,HARRINGTON & RICHARDSON                                ,H & R (HARRINGT,     ,1/24/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,2017,27
80-17-005707,STOLEN PROPERTY,"SHOTGUN, PUMP ACTION                                   ","RAPTOR ARMS CO., INC.                                  ",               ,20GA ,1/19/2017,5300 BLOCK CANE RUN RD                                      ,LOUISVILLE          ,KY,0,WHITE,M,38,2017,28
80-17-013475,WPNS LAW VIOLATION,"PISTOL, DERRINGER                                      ",                                                       ,               ,22C  ,2/16/2017,800 BLOCK BRENTWOOD AVE                                     ,LOUISVILLE          ,KY,40215,WHITE,M,44,2017,29
80-14-032487,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,SD40VE         ,40C  ,2/8/2017,3500 BLOCK PARTHENIA AVE                                    ,LOUISVILLE          ,KY,40215,BLACK,F,33,2017,30
80-17-009975,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,MODEL PT145    ,4570,2/3/2017,3300 BLOCK W MARKET ST                                      ,LOUISVILLE          ,KY,40212,BLACK,M,31,2017,31
80-17-008851,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",LORCIN ENGINEER                                        ,               ,380C ,1/31/2017,BERRY BLVD / TAYLOR BLVD                                    ,LOUISVILLE          ,KY,40215,BLACK,M,19,2017,32
80-17-005707,STOLEN PROPERTY,"SHOTGUN, PUMP ACTION                                   ","RAPTOR ARMS CO., INC.                                  ",               ,20GA ,1/19/2017,5300 BLOCK CANE RUN RD                                      ,LOUISVILLE          ,KY,0,WHITE,M,38,2017,33
80-17-007104,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,               ,9MM  ,1/24/2017,8700 BLOCK ZACHARY CIR                                      ,LOUISVILLE          ,KY,40214,WHITE,F,19,2017,34
80-17-013177,AGGRAVATED ASSAULT,NULL,SMITH & WESSON                                         ,PISTOLS: M&P   ,     ,2/15/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,51,2017,35
80-17-009069,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,               ,     ,1/31/2017,DIXIE HWY / ROCKFORD LN                                     ,LOUISVILLE          ,KY,0,BLACK,M,34,2017,36
80-17-009719,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",MODEL 23/23C (4,40C  ,2/3/2017,4200 BLOCK GLEN HILL MANOR DR                               ,LOUISVILLE          ,KY,40272,BLACK,M,22,2017,37
80-14-032487,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",MODEL 27 (40 SW,40C  ,2/8/2017,3500 BLOCK PARTHENIA AVE                                    ,LOUISVILLE          ,KY,40215,BLACK,F,33,2017,38
80-17-000578,SUICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40272,NULL,NULL,NULL,NA,39
80-17-005736,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",MODEL 23/23C (4,40C  ,1/19/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,22,2017,40
80-17-006899,WPNS LAW VIOLATION,"SHOTGUN, PUMP ACTION                                   ",O. F. MOSSBERG & SONS                                  ,               ,12GA ,1/24/2017,PRESTON HWY / TRIO AVE                                      ,LOUISVILLE          ,KY,40219,WHITE,M,46,2017,41
80-17-013356,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",SPRINGFIELD FIREARMS CORPORATION                       ,               ,40C  ,2/15/2017,9500 BLOCK YELLOW PINE CT                                   ,LOUISVILLE          ,KY,40229,WHITE,M,24,2017,42
80-17-008660,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,               ,9MM  ,1/30/2017,0 BLOCK COLONIAL OAKS CT                                    ,LOUISVILLE          ,KY,0,UNKNOWN,M,38,2017,43
80-17-009901,SHOPLIFTING,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNAT                                        ,MODEL PT111    ,9MM  ,2/3/2017,4200 BLOCK OUTER LOOP                                       ,LOUISVILLE          ,KY,40219,BLACK,M,22,2017,44
80-17-005893,STOLEN PROPERTY,"PISTOL, SINGLE-SHOT                                    ",COMANCHE FIREAMRS                                      ,               ,410G ,2/7/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,F,28,2017,45
80-17-005893,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ","SPRINGFIELD ARMORY,GENESEO,IL                          ",PISTOL: MODEL X,9MM  ,2/7/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,F,28,2017,46
80-17-010679,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",GLOCK GMBH                                             ,MODEL 17/17C (9,9MM  ,2/7/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,2017,47
80-17-010681,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",SMITH & WESSON                                         ,65-3           ,357C ,2/7/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,2017,48
80-17-010831,NARCOTICS,NULL,SMITH & WESSON                                         ,               ,     ,2/7/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,25,2017,49
80-17-010831,NARCOTICS,NULL,SMITH & WESSON                                         ,               ,     ,2/7/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,25,2017,50
80-17-010862,AGGRAVATED ASSAULT,NULL,                                                       ,               ,     ,2/7/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,54,2017,51
80-17-010862,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",BROWNING ARMS CO.                                      ,               ,9MM  ,2/7/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,54,2017,52
80-17-010698,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNAT                                        ,MODEL PT111    ,9MM  ,2/6/2017,200 BLOCK S BIRCHWOOD AVE                                   ,LOUISVILLE          ,KY,40206,HISPANIC,M,43,2017,53
80-17-010589,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,TAURUS INTERNAT,9MM  ,2/6/2017,3000 BLOCK MID DALE LN                                      ,LOUISVILLE          ,KY,40220,WHITE,M,21,2017,54
80-17-010583,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ","SKYY INDUSTRIES, LLC                                   ",               ,9MM  ,2/6/2017,3400 BLOCK TAYLOR BLVD                                      ,LOUISVILLE          ,KY,40215,BLACK,M,22,2017,55
80-17-010699,STOLEN PROPERTY,"PISTOL, REVOLVER                                       ",CHARTER ARMS CORP.                                     ,UNDERCOVER     ,38C  ,2/6/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,F,15,2017,56
80-17-010601,ROBBERY,NULL,                                                       ,               ,     ,2/6/2017,7800 BLOCK OUTER LOOP                                       ,LOUISVILLE          ,KY,40219,NULL,NULL,NULL,2017,57
80-17-010601,ROBBERY,NULL,                                                       ,               ,     ,2/6/2017,7800 BLOCK OUTER LOOP                                       ,LOUISVILLE          ,KY,40219,NULL,NULL,NULL,2017,58
80-17-010601,ROBBERY,NULL,                                                       ,               ,     ,2/6/2017,7800 BLOCK OUTER LOOP                                       ,LOUISVILLE          ,KY,40219,NULL,NULL,NULL,2017,59
80-17-010769,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,               ,380C ,2/6/2017,9200 BLOCK BLUE LICK RD                                     ,LOUISVILLE          ,KY,40229,WHITE,F,23,2017,60
80-17-010769,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,               ,380C ,2/6/2017,9200 BLOCK BLUE LICK RD                                     ,LOUISVILLE          ,KY,40229,WHITE,F,23,2017,61
80-17-010769,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",               ,9MM  ,2/6/2017,9200 BLOCK BLUE LICK RD                                     ,LOUISVILLE          ,KY,40229,WHITE,F,23,2017,62
80-17-010769,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",               ,9MM  ,2/6/2017,9200 BLOCK BLUE LICK RD                                     ,LOUISVILLE          ,KY,40229,WHITE,F,23,2017,63
80-17-010790,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",INTERAMRS                                              ,               ,9MM  ,2/6/2017,W MANSLICK RD / PENILE RD                                   ,LOUISVILLE          ,KY,40118,WHITE,M,25,2017,64
80-17-010408,SIMPLE ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,HANDGUNS: LCP S,9MM  ,2/5/2017,100 BLOCK E ST CATHERINE ST                                 ,LOUISVILLE          ,KY,40203,NULL, ,NULL,2017,65
80-17-010408,SIMPLE ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,HANDGUNS: LCP S,9MM  ,2/5/2017,100 BLOCK E ST CATHERINE ST                                 ,LOUISVILLE          ,KY,40203,NULL, ,NULL,2017,66
80-17-010371,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,JC-40 SERIES   ,40C  ,2/5/2017,5500 BLOCK HALSTEAD AVE                                     ,LOUISVILLE          ,KY,40219,WHITE,M,33,2017,67
80-17-010376,AGGRAVATED ASSAULT,"PISTOL, REVOLVER                                       ",                                                       ,.357 REVOLVER  ,357C ,2/5/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,33,2017,68
80-17-010392,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNAT                                        ,MODEL PT111    ,9MM  ,2/5/2017,ARTHUR ST / E GAULBERT AVE                                  ,LOUISVILLE          ,KY,40208,BLACK,M,34,2017,69
80-17-010521,ROBBERY,NULL,TAURUS INTERNATIONAL                                   ,MODEL PT140    ,     ,2/5/2017,S 5TH ST / MONTANA AVE                                      ,LOUISVILLE          ,KY,40208,BLACK,M,19,2017,70
80-17-010521,ROBBERY,NULL,TAURUS INTERNATIONAL                                   ,               ,     ,2/5/2017,S 5TH ST / MONTANA AVE                                      ,LOUISVILLE          ,KY,40208,BLACK,M,19,2017,71
80-17-010521,ROBBERY,NULL,COBRA ENTERPRISES INC                                  ,               ,     ,2/5/2017,S 5TH ST / MONTANA AVE                                      ,LOUISVILLE          ,KY,40208,BLACK,M,19,2017,72
80-17-010383,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,MODEL PT111    ,9MM  ,2/5/2017,SEELBACH AVE / TAYLOR BLVD                                  ,LOUISVILLE          ,KY,40215,BLACK,M,21,2017,73
80-17-010325,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",PIETRO ZANOLETTI                                       ,               ,9MM  ,2/4/2017,300 BLOCK WOODBINE ST                                       ,LOUISVILLE          ,KY,40208,BLACK,M,25,2017,74
80-17-010118,WPNS LAW VIOLATION,NULL,SMITH & WESSON                                         ,               ,     ,2/4/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,WHITE,M,51,2017,75
80-17-010215,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",COLT                                                   ,PISTOL POCKET P,32C  ,2/4/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,35,2017,76
80-17-010215,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",COLT                                                   ,PISTOL POCKET P,32C  ,2/4/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,35,2017,77
80-17-010122,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,709 SLIM       ,9MM  ,2/4/2017,6300 BLOCK COMMERCE PARK CT                                 ,LOUISVILLE          ,KY,40118,WHITE,M,20,2017,78
80-17-010348,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",MODEL 27 (40 SW,40C  ,2/4/2017,7600 BLOCK MANSLICK RD                                      ,LOUISVILLE          ,KY,40214,BLACK,M,32,2017,79
80-17-010348,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",MODEL 27 (40 SW,40C  ,2/4/2017,7600 BLOCK MANSLICK RD                                      ,LOUISVILLE          ,KY,40214,BLACK,M,32,2017,80
80-17-010348,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",MODEL 27 (40 SW,40C  ,2/4/2017,7600 BLOCK MANSLICK RD                                      ,LOUISVILLE          ,KY,40214,BLACK,M,32,2017,81
80-17-010348,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",MODEL 27 (40 SW,40C  ,2/4/2017,7600 BLOCK MANSLICK RD                                      ,LOUISVILLE          ,KY,40214,BLACK,M,32,2017,82
80-17-010348,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,HANDGUNS: LCP S,9MM  ,2/4/2017,7600 BLOCK MANSLICK RD                                      ,LOUISVILLE          ,KY,40214,BLACK,M,32,2017,83
80-17-010348,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,HANDGUNS: LCP S,9MM  ,2/4/2017,7600 BLOCK MANSLICK RD                                      ,LOUISVILLE          ,KY,40214,BLACK,M,32,2017,84
80-17-010348,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,HANDGUNS: LCP S,9MM  ,2/4/2017,7600 BLOCK MANSLICK RD                                      ,LOUISVILLE          ,KY,40214,BLACK,M,32,2017,85
80-17-010348,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,HANDGUNS: LCP S,9MM  ,2/4/2017,7600 BLOCK MANSLICK RD                                      ,LOUISVILLE          ,KY,40214,BLACK,M,32,2017,86
80-17-009394,NARCOTICS,"RIFLE, SEMI-AUTOMATIC                                  ",ANDERSON MANUFACTURING                                 ,               ,     ,2/3/2017,13300 BLOCK HORNCASTLE                                      ,LOUISVILLE          ,KY,40272,WHITE,M,35,2017,87
80-17-009394,NARCOTICS,"RIFLE, SEMI-AUTOMATIC                                  ",ANDERSON MANUFACTURING                                 ,               ,     ,2/3/2017,13300 BLOCK HORNCASTLE                                      ,LOUISVILLE          ,KY,40272,WHITE,M,35,2017,88
80-17-009394,NARCOTICS,"RIFLE, SEMI-AUTOMATIC                                  ",ANDERSON MANUFACTURING                                 ,               ,     ,2/3/2017,13300 BLOCK HORNCASTLE                                      ,LOUISVILLE          ,KY,40272,WHITE,M,35,2017,89
80-17-007085,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,CF-380         ,380C ,1/24/2017,S 26TH ST / MAGAZINE ST                                     ,LOUISVILLE          ,KY,40211,BLACK,M,18,2017,90
80-17-008660,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,               ,9MM  ,1/30/2017,0 BLOCK COLONIAL OAKS CT                                    ,LOUISVILLE          ,KY,0,UNKNOWN,M,38,2017,91
80-17-013356,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",SPRINGFIELD FIREARMS CORPORATION                       ,               ,40C  ,2/15/2017,9500 BLOCK YELLOW PINE CT                                   ,LOUISVILLE          ,KY,40229,WHITE,M,24,2017,92
80-17-007085,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",FIE                                                    ,TATAN II       ,25C  ,1/24/2017,S 26TH ST / MAGAZINE ST                                     ,LOUISVILLE          ,KY,40211,BLACK,M,18,2017,93
80-17-005736,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",               ,380C ,1/19/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,WHITE,F,32,2017,94
80-17-001680,SUICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40272,NULL,NULL,NULL,NA,95
80-17-013374,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,SCCY           ,9MM  ,2/15/2017,DIXIE HWY / GARLAND AVE                                     ,LOUISVILLE          ,KY,40210,BLACK,M,18,2017,96
