INCIDENT_NUMBER,UCR_CATEGORY,TYPE_OF_FIREARM,FIREARM_MANUFACTURER,FIREARM_MODEL,FIREARM_CALIBER,RECOVERY_DATE,RECOVERY_BLOCK_ADDRESS,CITY,state,RECOVERY_ZIPCODE,PERSON_RECOVERED_FROM_RACE,PERSON_RECOVERED_FROM_SEX,PERSON_RECOVERED_FROM_AGE,year,ObjectId
80-16-018551,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ","FNH USA, LLC                                           ",               ,57,3/4/2016,E MARKET ST / S PRESTON ST                                  ,LOUISVILLE          ,KY,40202,WHITE,M,32,2016,2889
80-16-026456,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",BERETTA (P. OR PIETRO)                                 ,               ,9MM  ,3/30/2016,BERRY BLVD / WHEELER AVE                                    ,LOUISVILLE          ,KY,40215,WHITE,M,45,2016,2890
80-16-029958,SIMPLE ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",LORCIN ENGINEER                                        ,L-380          ,380C ,4/10/2016,2300 BLOCK W HILL ST                                        ,LOUISVILLE          ,KY,40210,BLACK,M,58,2016,2891
80-16-022392,STOLEN PROPERTY,"PISTOL, REVOLVER                                       ",INTERAMRS                                              ,               ,357C ,3/16/2016,100 BLOCK TRAFALGAR SQ                                      ,LOUISVILLE          ,KY,40218,BLACK,M,36,2016,2892
80-16-015710,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,MODEL PT-24/7  ,45C  ,2/23/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,26,2016,2893
80-16-015802,SIMPLE ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",MODEL 19/19C (9,9MM  ,2/23/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,23,2016,2894
80-16-015601,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,               ,40C  ,2/22/2016,4500 BLOCK W BROADWAY                                       ,LOUISVILLE          ,KY,40211,BLACK,M,19,2016,2895
80-16-015347,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",SIG-SAUER                                              ,PISTOL: 226 SER,10MM ,2/22/2016,600 BLOCK S 11TH ST                                         ,LOUISVILLE          ,KY,40203,BLACK,M,24,2016,2896
80-16-015424,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",HS PRODUCTS (IM METAL)                                 ,NONE           ,22C  ,2/22/2016,900 BLOCK EUCLID AVE                                        ,LOUISVILLE          ,KY,40208,BLACK,M,28,2016,2897
80-16-015060,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ","KELTEC, CNC INDUSTRIES, INC                            ",PF-9           ,9MM  ,2/21/2016,100 BLOCK E WITHERSPOON ST                                  ,LOUISVILLE          ,KY,40202,BLACK,M,18,2016,2898
80-16-015125,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,HANDGUNS: P SER,380C ,2/21/2016,1500 BLOCK QUARRY ST                                        ,LOUISVILLE          ,KY,40206,WHITE,F,28,2016,2899
80-16-015259,SIMPLE ASSAULT,"PISTOL, REVOLVER                                       ",TAURUS INTERNATIONAL                                   ,               ,45C  ,2/21/2016,2900 BLOCK BRADFORD GROVE LN                                ,LOUISVILLE          ,KY,40220,WHITE,M,70,2016,2900
80-16-015259,SIMPLE ASSAULT,"PISTOL, REVOLVER                                       ",SMITH & WESSON                                         ,               ,38C  ,2/21/2016,2900 BLOCK BRADFORD GROVE LN                                ,LOUISVILLE          ,KY,40220,WHITE,M,70,2016,2901
80-16-015259,SIMPLE ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,               ,380C ,2/21/2016,2900 BLOCK BRADFORD GROVE LN                                ,LOUISVILLE          ,KY,40220,WHITE,M,70,2016,2902
80-16-015269,WPNS LAW VIOLATION,NULL,FIE                                                    ,TITAN          ,     ,2/21/2016,4100 BLOCK BANK ST                                          ,LOUISVILLE          ,KY,40212,BLACK,M,29,2016,2903
80-16-015061,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,MODEL PT111    ,9MM  ,2/21/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,0,BLACK,M,21,2016,2904
80-16-015311,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,               ,380C ,2/21/2016,PRESTON HWY / TRIO AVE                                      ,LOUISVILLE          ,KY,40219,WHITE,M,19,2016,2905
80-16-015049,AUTO THEFT,"PISTOL, SEMI-AUTOMATIC                                 ",KODIAK MFG. CO.                                        ,               ,380C ,2/20/2016,1300 BLOCK SOUTHGATE AVE                                    ,LOUISVILLE          ,KY,40215,BLACK,M,25,2016,2906
80-16-014973,ACCIDENTAL SHOOTING,"PISTOL, REVOLVER                                       ",SMITH & WESSON                                         ,               ,44C  ,2/20/2016,4400 BLOCK KILN CT                                          ,WATTERSON_PARK      ,KY,40218,BLACK,M,63,2016,2907
80-16-014973,ACCIDENTAL SHOOTING,"PISTOL, REVOLVER                                       ",SMITH & WESSON                                         ,               ,44C  ,2/20/2016,4400 BLOCK KILN CT                                          ,WATTERSON_PARK      ,KY,40218,BLACK,M,63,2016,2908
80-16-014858,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,PT24/7 PRO     ,9MM  ,2/20/2016,BELRAD DR / SEBREE LN                                       ,LOUISVILLE          ,KY,40218,HISPANIC,M,40,2016,2909
80-16-014858,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,PT24/7 PRO     ,9MM  ,2/20/2016,BELRAD DR / SEBREE LN                                       ,LOUISVILLE          ,KY,40218,HISPANIC,M,40,2016,2910
80-16-014858,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,PT24/7 PRO     ,9MM  ,2/20/2016,BELRAD DR / SEBREE LN                                       ,LOUISVILLE          ,KY,40218,HISPANIC,M,40,2016,2911
80-16-014537,NARCOTICS,"SHOTGUN, SEMIAUTOMATIC                                 ","REMINGTON ARMS CO., INC.                               ",SHOTGUN: MODEL ,16GA ,2/19/2016,7300 BLOCK EGYPT LN                                         ,LOUISVILLE          ,KY,40219,BLACK,M,21,2016,2912
80-16-014537,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,CF-380         ,380C ,2/19/2016,7300 BLOCK EGYPT LN                                         ,LOUISVILLE          ,KY,40219,BLACK,M,21,2016,2913
80-16-014792,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ","SPRINGFIELD ARMORY,GENESEO,IL                          ",PISTOL: MODEL X,45C  ,2/19/2016,BANK ST                                                     ,LOUISVILLE          ,KY,40212,BLACK,M,29,2016,2914
80-16-014622,AGGRAVATED ASSAULT,NULL,"GLOCK, INC.                                            ",               ,     ,2/19/2016,S 38TH ST / W BROADWAY                                      ,LOUISVILLE          ,KY,40211,NULL,NULL,NULL,2016,2915
80-16-014799,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SIG-SAUER                                              ,               ,40C  ,2/19/2016,S 5TH ST / ALI                                              ,LOUISVILLE          ,KY,40202,BLACK,M,27,2016,2916
80-16-014387,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,               ,9MM  ,2/18/2016,200 BLOCK S 41ST ST                                         ,LOUISVILLE          ,KY,40212,BLACK,M,15,2016,2917
80-16-014468,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,               ,9MM  ,2/18/2016,4000 BLOCK SUNSET AVE                                       ,LOUISVILLE          ,KY,40211,BLACK,M,21,2016,2918
80-16-014468,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,               ,9MM  ,2/18/2016,4000 BLOCK SUNSET AVE                                       ,LOUISVILLE          ,KY,40211,BLACK,M,21,2016,2919
80-16-014436,NARCOTICS,"PISTOL, REVOLVER                                       ",NORTH AMERICAN ARMS                                    ,               ,22C  ,2/18/2016,600 BLOCK N 32ND ST                                         ,LOUISVILLE          ,KY,40212,WHITE,F,24,2016,2920
80-16-014436,NARCOTICS,"PISTOL, REVOLVER                                       ",NORTH AMERICAN ARMS                                    ,               ,22C  ,2/18/2016,600 BLOCK N 32ND ST                                         ,LOUISVILLE          ,KY,40212,WHITE,F,24,2016,2921
80-16-014436,NARCOTICS,"PISTOL, REVOLVER                                       ",NORTH AMERICAN ARMS                                    ,               ,22C  ,2/18/2016,600 BLOCK N 32ND ST                                         ,LOUISVILLE          ,KY,40212,WHITE,F,24,2016,2922
80-16-014248,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",MODEL 19/19C (9,9MM  ,2/18/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,2016,2923
80-16-014238,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ","SPRINGFIELD ARMORY,GENESEO,IL                          ",XD             ,45C  ,2/18/2016,AUBURNDALE AVE / SOUTHERN PKY                               ,LOUISVILLE          ,KY,40214,BLACK,M,21,2016,2924
80-16-028476,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ","ROCK ISLAND ARMORY INC. (GENESEO, IL)                  ",               ,45C  ,4/5/2016,3200 BLOCK DIXIE HWY                                        ,SHIVELY             ,KY,40216,BLACK,M,35,2016,2925
80-16-024946,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ","SPRINGFIELD ARMORY,GENESEO,IL                          ",PISTOL: MODEL X,40C  ,3/24/2016,8200 BLOCK LAUREL GROVE CT                                  ,LOUISVILLE          ,KY,40228,BLACK,M,18,2016,2926
80-16-028433,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",JIMENEZ ARMS                                           ,               ,9MM  ,4/5/2016,POPLAR LEVEL RD / RANGELAND RD                              ,LOUISVILLE          ,KY,40219,BLACK,M,20,2016,2927
80-16-029730,NARCOTICS,"SHOTGUN, PUMP ACTION                                   ",                                                       ,               ,12GA ,4/10/2016,2400 BLOCK SUMMERCREEK DR                                   ,LOUISVILLE          ,KY,40272,WHITE,M,19,2016,2928
80-16-022392,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",               ,40C  ,3/16/2016,100 BLOCK TRAFALGAR SQ                                      ,LOUISVILLE          ,KY,40218,BLACK,M,36,2016,2929
80-16-018813,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",JIMENEZ ARMS                                           ,J A NINE       ,9MM  ,3/4/2016,S 11TH ST / CEDAR CT                                        ,LOUISVILLE          ,KY,40203,WHITE,F,27,2016,2930
80-16-026528,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",PHOENIX ARMS CO                                        ,HP MODELS      ,22C  ,3/30/2016,CENTRAL AVE / TAYLOR BLVD                                   ,LOUISVILLE          ,KY,40208,WHITE,F,34,2016,2931
80-16-018528,WPNS LAW VIOLATION,NULL,                                                       ,TOMCAT-32      ,     ,3/4/2016,S 26TH ST / W BROADWAY                                      ,LOUISVILLE          ,KY,40211,BLACK,M,22,2016,2932
80-16-028501,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,740,40C  ,4/5/2016,S 24TH ST / W MUHAMMAD ALI BLVD                             ,LOUISVILLE          ,KY,40212,BLACK,M,32,2016,2933
80-16-022392,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ","FNH USA, LLC                                           ",               ,40C  ,3/16/2016,100 BLOCK TRAFALGAR SQ                                      ,LOUISVILLE          ,KY,40218,BLACK,M,36,2016,2934
80-16-018537,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",CENTURY ARMS INTERNATIONAL                             ,CANIK TP9SA    ,9MM  ,3/4/2016,S 5TH ST / CENTRAL AVE                                      ,LOUISVILLE          ,KY,40216,HISPANIC,M,31,2016,2935
80-16-026592,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",MODEL 23/23C (4,40C  ,3/30/2016,S 11TH ST / W CHESTNUT ST                                   ,LOUISVILLE          ,KY,40203,NULL,NULL,NULL,2016,2936
80-16-029900,BURGLARY,"PISTOL, SEMI-AUTOMATIC                                 ",JIMENEZ ARMS                                           ,               ,9MM  ,4/10/2016,4100 BLOCK LARKWOOD AVE                                     ,LOUISVILLE          ,KY,40212,BLACK,M,15,2016,2937
80-16-027967,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,MODEL PT111    ,9MM  ,4/4/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,M,24,2016,2938
80-16-022392,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ",DIAMOND ARMS CO.                                       ,               ,9MM  ,3/16/2016,100 BLOCK TRAFALGAR SQ                                      ,LOUISVILLE          ,KY,40218,BLACK,M,36,2016,2939
80-16-018202,NARCOTICS,"PISTOL, REVOLVER                                       ",ROHM                                                   ,RG38           ,38C  ,3/3/2016,1000 BLOCK S 29TH ST                                        ,LOUISVILLE          ,KY,40211,BLACK,M,31,2016,2940
80-16-018392,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,               ,9MM  ,3/3/2016,4400 BLOCK HEATHER LN                                       ,LOUISVILLE          ,KY,40216,BLACK,M,22,2016,2941
80-16-018392,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,               ,9MM  ,3/3/2016,4400 BLOCK HEATHER LN                                       ,LOUISVILLE          ,KY,40216,BLACK,M,22,2016,2942
80-16-018392,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,               ,9MM  ,3/3/2016,4400 BLOCK HEATHER LN                                       ,LOUISVILLE          ,KY,40216,BLACK,M,22,2016,2943
80-16-018427,NARCOTICS,"RIFLE, SEMI-AUTOMATIC                                  ","GLOCK, INC.                                            ",               ,380C ,3/3/2016,DIXIE HWY / W HILL ST                                       ,LOUISVILLE          ,KY,40210,WHITE,M,26,2016,2944
80-16-018295,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",TAURUS INTERNAT                                        ,               ,44C  ,3/3/2016,W BROADWAY / LOUIS COLEMAN JR DR                            ,LOUISVILLE          ,KY,40211,WHITE,M,19,2016,2945
80-16-018354,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNAT                                        ,MODEL PT92     ,9MM  ,3/3/2016,W HILL ST / OLIVE ST                                        ,LOUISVILLE          ,KY,40210,NULL,NULL,NULL,2016,2946
80-16-017929,ROBBERY,"PISTOL, REVOLVER                                       ",SMITH & WESSON                                         ,AIRWEIGHT      ,38C  ,3/2/2016,1500 BLOCK FRANKFORT AVE                                    ,LOUISVILLE          ,KY,0,BLACK,M,19,2016,2947
80-16-017929,ROBBERY,NULL,CHARTER 2000                                           ,               ,     ,3/2/2016,1900 BLOCK BEECH ST                                         ,LOUISVILLE          ,KY,40210,BLACK,M,19,2016,2948
80-16-018171,WPNS LAW VIOLATION,NULL,                                                       ,H & R          ,     ,3/2/2016,5300 BLOCK S 3RD ST                                         ,LOUISVILLE          ,KY,40214,HISPANIC,M,44,2016,2949
80-16-018083,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SIG-SAUER                                              ,               ,40C  ,3/2/2016,DE MEL AVE / GAGEL AVE                                      ,LOUISVILLE          ,KY,40216,BLACK,M,23,2016,2950
80-16-017536,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,PT709          ,9MM  ,2/29/2016,3200 BLOCK VERMONT AVE                                      ,LOUISVILLE          ,KY,40211,WHITE,M,62,2016,2951
80-16-017536,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,PT709          ,9MM  ,2/29/2016,3200 BLOCK VERMONT AVE                                      ,LOUISVILLE          ,KY,40211,WHITE,M,62,2016,2952
80-16-016990,AGGRAVATED ASSAULT,NULL,SMITH & WESSON                                         ,               ,     ,2/29/2016,600 BLOCK W JEFFERSON                                       ,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,2016,2953
80-16-024946,NARCOTICS,"PISTOL, REVOLVER                                       ",ROHM                                                   ,               ,22C  ,3/24/2016,8200 BLOCK LAUREL GROVE CT                                  ,LOUISVILLE          ,KY,40228,BLACK,M,18,2016,2954
80-16-017442,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,CF-380         ,380C ,2/29/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,2016,2955
80-16-017300,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,PISTOLS: SIGMA ,9MM  ,2/28/2016,S 6TH ST / W BRECKINRIDGE ST                                ,LOUISVILLE          ,KY,40203,BLACK,M,38,2016,2956
80-16-017256,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,               ,9MM  ,2/28/2016,WF - BIG FOUR BRIDGE                                        ,LOUISVILLE          ,KY,40206,BLACK,M,20,2016,2957
80-16-016830,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,SR9            ,9MM  ,2/27/2016,1200 BLOCK SHERRY ST                                        ,LOUISVILLE          ,KY,40217,BLACK,M,15,2016,2958
80-16-016830,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,SR9            ,9MM  ,2/27/2016,1200 BLOCK SHERRY ST                                        ,LOUISVILLE          ,KY,40217,BLACK,M,15,2016,2959
80-16-017047,INTIMIDATION,"PISTOL, SEMI-AUTOMATIC                                 ",JIMENEZ ARMS                                           ,               ,380C ,2/27/2016,1600 BLOCK BRASHEAR DR                                      ,LOUISVILLE          ,KY,40210,BLACK,M,28,2016,2960
80-16-017009,AGGRAVATED ASSAULT,"RIFLE, BOLT ACTION                                     ",MARLIN FIREARMS CO.                                    ,               ,22C  ,2/27/2016,1800 BLOCK DEER PARK AVE                                    ,LOUISVILLE          ,KY,40205,WHITE,M,38,2016,2961
80-16-017012,NARCOTICS,"SHOTGUN, PUMP ACTION                                   ",                                                       ,               ,12GA ,2/27/2016,3300 BLOCK TAYLOR BLVD                                      ,LOUISVILLE          ,KY,40215,BLACK,M,25,2016,2962
80-16-017012,NARCOTICS,"RIFLE, SEMI-AUTOMATIC                                  ",ROMARM/CUGIR                                           ,               ,762M ,2/27/2016,3300 BLOCK TAYLOR BLVD                                      ,LOUISVILLE          ,KY,40215,BLACK,M,25,2016,2963
80-16-017012,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,TAURUS         ,9MM  ,2/27/2016,3300 BLOCK TAYLOR BLVD                                      ,LOUISVILLE          ,KY,40215,BLACK,M,25,2016,2964
80-16-016788,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",ROSSI - AMADEO ROSSI & CO                              ,M6B            ,38C  ,2/27/2016,3700 BLOCK 7TH STREET RD                                    ,LOUISVILLE          ,KY,40216,BLACK,M,18,2016,2965
80-16-016829,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",AMERICAN TACTICAL IMPORTS (ATI)                        ,M1911          ,45C  ,2/27/2016,400 BLOCK S 4TH ST                                          ,LOUISVILLE          ,KY,40202,WHITE,M,25,2016,2966
80-16-017041,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,               ,380C ,2/27/2016,4300 BLOCK SHADY VILLA DR                                   ,LOUISVILLE          ,KY,40219,BLACK,M,24,2016,2967
80-16-016846,INTIMIDATION,"PISTOL, SEMI-AUTOMATIC                                 ",SIG-SAUER                                              ,P250           ,357C ,2/27/2016,900 BLOCK BAXTER AVE                                        ,LOUISVILLE          ,KY,40204,WHITE,M,32,2016,2968
80-16-016538,AGGRAVATED ASSAULT,"PISTOL, BOLT ACTION                                    ",                                                       ,               ,762M ,2/26/2016,2600 BLOCK W BROADWAY                                       ,LOUISVILLE          ,KY,40211,BLACK,M,30,2016,2969
80-16-016538,AGGRAVATED ASSAULT,"PISTOL, BOLT ACTION                                    ",                                                       ,               ,762M ,2/26/2016,2600 BLOCK W BROADWAY                                       ,LOUISVILLE          ,KY,40211,BLACK,M,30,2016,2970
80-16-016538,AGGRAVATED ASSAULT,"PISTOL, BOLT ACTION                                    ",                                                       ,               ,762M ,2/26/2016,2600 BLOCK W BROADWAY                                       ,LOUISVILLE          ,KY,40211,BLACK,M,30,2016,2971
80-16-016538,AGGRAVATED ASSAULT,"PISTOL, BOLT ACTION                                    ",                                                       ,               ,762M ,2/26/2016,2600 BLOCK W BROADWAY                                       ,LOUISVILLE          ,KY,40211,BLACK,M,30,2016,2972
80-16-016538,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",               ,357C ,2/26/2016,2600 BLOCK W BROADWAY                                       ,LOUISVILLE          ,KY,40211,BLACK,M,30,2016,2973
80-16-016538,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",               ,357C ,2/26/2016,2600 BLOCK W BROADWAY                                       ,LOUISVILLE          ,KY,40211,BLACK,M,30,2016,2974
80-16-016538,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",               ,357C ,2/26/2016,2600 BLOCK W BROADWAY                                       ,LOUISVILLE          ,KY,40211,BLACK,M,30,2016,2975
80-16-016538,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",               ,357C ,2/26/2016,2600 BLOCK W BROADWAY                                       ,LOUISVILLE          ,KY,40211,BLACK,M,30,2016,2976
80-16-016626,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,               ,9MM  ,2/26/2016,400 BLOCK N 26TH ST                                         ,LOUISVILLE          ,KY,40212,WHITE,M,40,2016,2977
80-16-016786,NARCOTICS,"SHOTGUN, PUMP ACTION                                   ","REMINGTON ARMS CO., INC.                               ",               ,12GA ,2/26/2016,6100 BLOCK DUTCHMANS LN                                     ,LOUISVILLE          ,KY,40205,BLACK,M,17,2016,2978
80-16-016786,NARCOTICS,"SHOTGUN, PUMP ACTION                                   ","REMINGTON ARMS CO., INC.                               ",               ,12GA ,2/26/2016,6100 BLOCK DUTCHMANS LN                                     ,LOUISVILLE          ,KY,40205,BLACK,M,17,2016,2979
80-16-016786,NARCOTICS,"SHOTGUN, PUMP ACTION                                   ","REMINGTON ARMS CO., INC.                               ",               ,12GA ,2/26/2016,6100 BLOCK DUTCHMANS LN                                     ,LOUISVILLE          ,KY,40205,BLACK,M,17,2016,2980
80-16-016786,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,               ,45C  ,2/26/2016,6100 BLOCK DUTCHMANS LN                                     ,LOUISVILLE          ,KY,40205,BLACK,M,17,2016,2981
80-16-016786,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,               ,45C  ,2/26/2016,6100 BLOCK DUTCHMANS LN                                     ,LOUISVILLE          ,KY,40205,BLACK,M,17,2016,2982
80-16-016786,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,               ,45C  ,2/26/2016,6100 BLOCK DUTCHMANS LN                                     ,LOUISVILLE          ,KY,40205,BLACK,M,17,2016,2983
80-16-016548,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,C9             ,9MM  ,2/26/2016,S 13TH ST                                                   ,LOUISVILLE          ,KY,40210,BLACK,M,18,2016,2984
80-16-026592,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",MODEL 23/23C (4,40C  ,3/30/2016,S 11TH ST / W CHESTNUT ST                                   ,LOUISVILLE          ,KY,40203,NULL,NULL,NULL,2016,2985
80-16-027967,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,MODEL PT111    ,9MM  ,4/4/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,M,24,2016,2986
80-16-029712,ROBBERY,"RIFLE, CARBINE                                         ",HIPOINT                                                ,995,9MM  ,4/10/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,0,NULL,M,36,2016,2987
80-16-026110,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,P380           ,380C ,3/29/2016,10300 BLOCK BARRICKS RD                                     ,LOUISVILLE          ,KY,40229,WHITE,M,34,2016,2988
80-16-022240,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,SR22           ,22C  ,3/16/2016,12000 BLOCK STANDIFORD PLAZA DR                             ,LOUISVILLE          ,KY,40229,WHITE,M,35,2016,2989
80-16-027967,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",CHARTER ARMS CORP.                                     ,OFF DUTY       ,38C  ,4/4/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,M,24,2016,2990
80-16-029712,ROBBERY,"RIFLE, CARBINE                                         ",HIPOINT                                                ,995,9MM  ,4/10/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,0,NULL,M,36,2016,2991
80-16-026110,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,P380           ,380C ,3/29/2016,10300 BLOCK BARRICKS RD                                     ,LOUISVILLE          ,KY,40229,WHITE,M,34,2016,2992
80-16-024946,NARCOTICS,"PISTOL, REVOLVER                                       ",ROHM                                                   ,               ,22C  ,3/24/2016,8200 BLOCK LAUREL GROVE CT                                  ,LOUISVILLE          ,KY,40228,BLACK,M,18,2016,2993
80-16-027967,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",CHARTER ARMS CORP.                                     ,OFF DUTY       ,38C  ,4/4/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,M,24,2016,2994
80-16-026418,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,               ,380C ,3/29/2016,1500 BLOCK CASTLEWOOD AVE                                   ,LOUISVILLE          ,KY,40204,BLACK,F,19,2016,2995
80-16-022358,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",               ,40C  ,3/16/2016,2500 BLOCK PENNACOOK RD                                     ,LOUISVILLE          ,KY,40214,BLACK,M,25,2016,2996
80-16-024946,NARCOTICS,"PISTOL, DERRINGER                                      ",FIE                                                    ,               ,38C  ,3/24/2016,8200 BLOCK LAUREL GROVE CT                                  ,LOUISVILLE          ,KY,40228,BLACK,M,18,2016,2997
