rfr_id,INCIDENT_NUMBER,UCR_CATEGORY
191,80-11-000740,Narcotics
192,80-11-000740,Narcotics
193,80-11-000740,Narcotics
194,80-11-000740,Narcotics
195,80-11-000740,Narcotics
196,80-11-000740,Narcotics
197,80-11-000740,Narcotics
198,80-11-039159,Aggravated Assault
199,80-11-039159,Aggravated Assault
200,80-11-045742,Aggravated Assault
201,80-11-065146,Robbery
202,80-10-062415,Narcotics
203,80-11-072036,Vandalism
204,80-11-068389,Aggravated Assault
205,80-11-021353,Narcotics
206,80-11-021353,Narcotics
207,80-11-045994,Wpns Law Violation
208,80-11-045994,Wpns Law Violation
209,80-10-096913,Narcotics
210,80-10-096913,Narcotics
211,80-10-070222,Wpns Law Violation
212,80-11-063891,All Other Offenses
213,80-11-059925,Robbery
214,80-10-072963,Wpns Law Violation
215,80-11-001602,Wpns Law Violation
216,80-11-016806,Intimidation
217,80-11-070984,Narcotics
218,80-10-080462,Narcotics
219,80-11-069596,Wpns Law Violation
220,80-11-069596,Wpns Law Violation
221,80-11-001921,Counterfeiting
222,80-11-001267,Wpns Law Violation
223,80-11-063970,Narcotics
224,80-11-063970,Narcotics
225,80-10-076022,Intimidation
226,80-11-023785,Wpns Law Violation
227,80-11-023785,Wpns Law Violation
228,80-10-098155,Wpns Law Violation
229,80-11-060211,Narcotics
230,80-11-060211,Narcotics
231,80-11-000740,Narcotics
232,80-11-000740,Narcotics
233,80-11-000740,Narcotics
234,80-11-073362,Wpns Law Violation
235,80-10-088466,Family Offenses
236,80-10-073182,Stolen Property
237,80-11-048655,Robbery
238,80-10-074787,Wpns Law Violation
239,80-11-016883,Aggravated Assault
240,80-10-077628,Aggravated Assault
241,80-11-027462,Wpns Law Violation
242,80-10-087737,Counterfeiting
243,80-11-019349,Aggravated Assault
244,80-11-019349,Aggravated Assault
245,80-11-019349,Aggravated Assault
246,80-11-019349,Aggravated Assault
247,80-10-098157,Aggravated Assault
248,80-10-098157,Aggravated Assault
249,80-10-083250,Wpns Law Violation
250,80-11-040427,Aggravated Assault
251,80-11-034598,Wpns Law Violation
252,80-10-062445,Wpns Law Violation
253,80-10-063888,Narcotics
254,80-10-063888,Narcotics
255,80-10-063888,Narcotics
256,80-10-064119,Aggravated Assault
257,80-10-065162,Aggravated Assault
258,80-10-065579,Narcotics
259,80-10-065579,Narcotics
260,80-10-065579,Narcotics
261,80-10-065579,Narcotics
262,80-10-089791,Theft Other
263,80-10-093602,Wpns Law Violation
264,80-10-097876,Accidental Shooting
265,80-11-013469,Wpns Law Violation
266,80-11-015623,Wpns Law Violation
267,80-11-015826,Aggravated Assault
268,80-10-062703,Wpns Law Violation
269,80-10-064449,Wpns Law Violation
270,80-10-067740,Family Offenses
271,80-10-068641,Narcotics
272,80-10-068641,Narcotics
273,80-10-052770,Aggravated Assault
274,80-10-055541,Wpns Law Violation
275,80-10-079964,Aggravated Assault
276,80-10-079964,Aggravated Assault
277,80-10-079964,Aggravated Assault
278,80-10-083504,Wpns Law Violation
279,80-10-083504,Wpns Law Violation
280,80-10-084054,Aggravated Assault
281,80-10-050884,Burglary
282,80-10-050884,Burglary
283,80-11-011057,Aggravated Assault
284,80-11-011057,Aggravated Assault
285,80-11-011057,Aggravated Assault
286,80-11-011057,Aggravated Assault
287,80-11-011057,Aggravated Assault
288,80-11-011057,Aggravated Assault
289,80-11-021323,Wpns Law Violation
290,80-11-021323,Wpns Law Violation
291,80-11-025417,All Other Offenses
292,80-11-029150,Wpns Law Violation
