dr_id,INCIDENT_NUMBER,LMPD_DIVISION
17753,80-16-015250,3RD DIVISION
17754,80-16-039553,7TH DIVISION
17755,80-16-019633,5TH DIVISION
17756,80-16-039460,4TH DIVISION
17757,80-16-039523,6TH DIVISION
17758,80-16-015246,5TH DIVISION
17759,80-16-039591,6TH DIVISION
17760,80-16-039046,1ST DIVISION
17761,80-16-029676,6TH DIVISION
17762,80-16-024867,1ST DIVISION
17763,80-16-029132,4TH DIVISION
17764,80-16-029667,6TH DIVISION
17765,80-16-030399,4TH DIVISION
17766,80-16-030360,3RD DIVISION
17767,80-16-030476,8TH DIVISION
17768,80-16-030482,1ST DIVISION
17769,80-16-029213,2ND DIVISION
17770,80-16-030475,4TH DIVISION
17771,80-16-039259,3RD DIVISION
17772,80-16-025094,5TH DIVISION
17773,80-16-038838,2ND DIVISION
17774,80-16-038809,1ST DIVISION
17775,80-16-039424,6TH DIVISION
17776,80-16-039433,6TH DIVISION
17777,80-16-039452,6TH DIVISION
17778,80-16-039611,2ND DIVISION
17779,80-16-039613,3RD DIVISION
17780,80-16-006622,6TH DIVISION
17781,80-16-008939,3RD DIVISION
17782,80-16-009777,7TH DIVISION
17783,80-16-009158,7TH DIVISION
17784,80-16-009156,4TH DIVISION
17785,80-16-009978,4TH DIVISION
17786,80-16-009962,4TH DIVISION
17787,80-16-009997,7TH DIVISION
17788,80-16-009981,2ND DIVISION
17789,80-16-009255,2ND DIVISION
17790,80-16-009998,7TH DIVISION
17791,80-16-010009,4TH DIVISION
17792,80-16-009000,3RD DIVISION
17793,80-16-009738,4TH DIVISION
17794,80-16-008914,3RD DIVISION
17795,80-16-008914,3RD DIVISION
17796,80-16-009893,4TH DIVISION
17797,80-16-009873,1ST DIVISION
17798,80-16-009873,1ST DIVISION
17799,80-16-018521,2ND DIVISION
17800,80-16-039575,2ND DIVISION
17801,80-16-015257,8TH DIVISION
17802,80-16-015256,7TH DIVISION
17803,80-16-039460,4TH DIVISION
17804,80-16-019284,5TH DIVISION
17805,80-16-015266,7TH DIVISION
17806,80-16-039373,5TH DIVISION
17807,80-16-039460,4TH DIVISION
17808,80-16-019284,5TH DIVISION
17809,80-16-015287,3RD DIVISION
17810,80-16-038569,1ST DIVISION
17811,80-16-037448,6TH DIVISION
17812,80-16-037448,6TH DIVISION
17813,80-16-038695,7TH DIVISION
17814,80-16-029265,7TH DIVISION
17815,80-16-038706,3RD DIVISION
17816,80-16-039487,3RD DIVISION
17817,80-16-039301,1ST DIVISION
17818,80-16-039574,7TH DIVISION
17819,80-16-039137,2ND DIVISION
17820,80-16-029934,1ST DIVISION
17821,80-16-029367,1ST DIVISION
17822,80-16-029684,3RD DIVISION
17823,80-16-029433,1ST DIVISION
17824,80-16-029433,1ST DIVISION
17825,80-16-029480,1ST DIVISION
17826,80-16-022989,3RD DIVISION
17827,80-16-029230,6TH DIVISION
17828,80-16-030329,4TH DIVISION
17829,80-16-029977,4TH DIVISION
17830,80-16-029976,2ND DIVISION
17831,80-16-030339,2ND DIVISION
17832,80-16-030404,6TH DIVISION
17833,80-16-025600,4TH DIVISION
17834,80-16-030257,7TH DIVISION
17835,80-16-030409,4TH DIVISION
17836,80-16-019566,2ND DIVISION
17837,80-16-019591,1ST DIVISION
17838,80-16-019573,7TH DIVISION
17839,80-16-019585,3RD DIVISION
17840,80-16-019568,4TH DIVISION
17841,80-16-019601,1ST DIVISION
17842,80-16-019604,3RD DIVISION
17843,80-16-019529,7TH DIVISION
17844,80-16-019506,2ND DIVISION
17845,80-16-019594,8TH DIVISION
17846,80-16-019621,6TH DIVISION
17847,80-16-019642,7TH DIVISION
17848,80-16-039539,7TH DIVISION
17849,80-16-019680,4TH DIVISION
17850,80-16-015286,7TH DIVISION
17851,80-16-038014,1ST DIVISION
17852,80-16-019049,1ST DIVISION
17853,80-16-030153,1ST DIVISION
17854,80-16-039119,METRO LOUISVILLE
17855,80-16-028966,7TH DIVISION
17856,80-16-029410,1ST DIVISION
17857,80-16-031475,6TH DIVISION
17858,80-16-026960,4TH DIVISION
17859,80-16-021457,4TH DIVISION
17860,80-16-031475,6TH DIVISION
17861,80-16-037258,4TH DIVISION
17862,80-16-039105,8TH DIVISION
17863,80-16-039563,2ND DIVISION
17864,80-16-039373,5TH DIVISION
17865,80-16-039576,7TH DIVISION
17866,80-16-037826,3RD DIVISION
17867,80-16-039227,2ND DIVISION
17868,80-16-039587,2ND DIVISION
17869,80-16-038494,2ND DIVISION
17870,80-16-039524,3RD DIVISION
17871,80-16-037678,METRO LOUISVILLE
17872,80-16-039085,2ND DIVISION
17873,80-16-039596,3RD DIVISION
17874,80-16-015309,5TH DIVISION
17875,80-16-015079,2ND DIVISION
17876,80-16-015288,2ND DIVISION
17877,80-16-015317,3RD DIVISION
17878,80-16-015338,4TH DIVISION
17879,80-16-015122,1ST DIVISION
17880,80-16-015368,4TH DIVISION
17881,80-16-015382,4TH DIVISION
17882,80-16-015383,2ND DIVISION
17883,80-16-015384,7TH DIVISION
17884,80-16-015226,8TH DIVISION
17885,80-16-014650,7TH DIVISION
17886,80-16-014857,5TH DIVISION
17887,80-16-015259,6TH DIVISION
17888,80-16-015393,6TH DIVISION
17889,80-16-014792,1ST DIVISION
17890,80-16-014792,1ST DIVISION
17891,80-16-015402,7TH DIVISION
17892,80-16-030406,6TH DIVISION
17893,80-16-021457,4TH DIVISION
17894,80-16-029662,6TH DIVISION
17895,80-16-030441,8TH DIVISION
17896,80-16-030417,3RD DIVISION
17897,80-16-030479,7TH DIVISION
17898,80-16-030416,4TH DIVISION
17899,80-16-029404,2ND DIVISION
17900,80-16-029232,2ND DIVISION
17901,80-16-029404,2ND DIVISION
17902,80-16-030420,5TH DIVISION
17903,80-16-029822,6TH DIVISION
17904,80-16-029895,4TH DIVISION
17905,80-16-029822,6TH DIVISION
17906,80-16-029895,4TH DIVISION
17907,80-16-029577,3RD DIVISION
17908,80-16-021947,7TH DIVISION
17909,80-16-028695,2ND DIVISION
17910,80-16-029485,6TH DIVISION
17911,80-16-039256,6TH DIVISION
17912,80-16-039712,1ST DIVISION
17913,80-16-039633,1ST DIVISION
17914,80-16-039697,6TH DIVISION
17915,80-16-039688,6TH DIVISION
17916,80-16-036269,5TH DIVISION
17917,80-16-039476,7TH DIVISION
17918,80-16-039162,4TH DIVISION
17919,80-16-039786,8TH DIVISION
17920,80-16-038778,4TH DIVISION
17921,80-16-039800,7TH DIVISION
17922,80-16-039825,1ST DIVISION
17923,80-16-039766,4TH DIVISION
17924,80-16-040108,2ND DIVISION
17925,80-16-027797,1ST DIVISION
17926,80-16-030497,2ND DIVISION
17927,80-16-030484,5TH DIVISION
17928,80-16-030223,2ND DIVISION
17929,80-16-030405,4TH DIVISION
17930,80-16-030496,3RD DIVISION
17931,80-16-030497,2ND DIVISION
17932,80-16-021575,4TH DIVISION
17933,80-16-029489,5TH DIVISION
17934,80-16-029982,8TH DIVISION
17935,80-16-029250,3RD DIVISION
17936,80-16-010030,7TH DIVISION
17937,80-16-030041,2ND DIVISION
17938,80-16-030436,3RD DIVISION
17939,80-16-009253,2ND DIVISION
17940,80-16-030446,3RD DIVISION
17941,80-16-008891,METRO LOUISVILLE
17942,80-16-030448,4TH DIVISION
17943,80-16-030065,6TH DIVISION
17944,80-16-030463,2ND DIVISION
17945,80-16-039480,6TH DIVISION
17946,80-16-038301,8TH DIVISION
17947,80-16-038302,8TH DIVISION
17948,80-16-039491,2ND DIVISION
17949,80-16-038942,4TH DIVISION
17950,80-16-038501,5TH DIVISION
17951,80-16-038004,2ND DIVISION
17952,80-16-038253,5TH DIVISION
17953,80-16-038262,5TH DIVISION
17954,80-16-019050,1ST DIVISION
17955,80-16-019063,3RD DIVISION
17956,80-16-019687,7TH DIVISION
17957,80-16-019700,3RD DIVISION
17958,80-16-018441,METRO LOUISVILLE
17959,80-16-036336,7TH DIVISION
17960,80-16-036336,7TH DIVISION
17961,80-16-039644,4TH DIVISION
17962,80-16-039431,4TH DIVISION
17963,80-16-039666,4TH DIVISION
17964,80-16-039704,7TH DIVISION
17965,80-16-039720,7TH DIVISION
17966,80-16-039677,8TH DIVISION
17967,80-16-038068,3RD DIVISION
17968,80-16-039685,1ST DIVISION
17969,80-16-039753,3RD DIVISION
17970,80-16-039722,4TH DIVISION
17971,80-16-039712,1ST DIVISION
17972,80-16-039635,6TH DIVISION
17973,80-16-039742,3RD DIVISION
17974,80-16-030360,3RD DIVISION
17975,80-16-030412,3RD DIVISION
17976,80-16-029905,1ST DIVISION
17977,80-16-029905,1ST DIVISION
17978,80-16-030411,6TH DIVISION
17979,80-16-028500,3RD DIVISION
17980,80-16-029707,3RD DIVISION
17981,80-16-029740,6TH DIVISION
17982,80-16-030045,2ND DIVISION
17983,80-16-030427,1ST DIVISION
17984,80-16-028854,7TH DIVISION
17985,80-16-030444,2ND DIVISION
17986,80-16-030449,1ST DIVISION
17987,80-16-014938,8TH DIVISION
17988,80-16-014820,7TH DIVISION
17989,80-16-014976,7TH DIVISION
17990,80-16-014977,7TH DIVISION
17991,80-16-014989,6TH DIVISION
17992,80-16-015025,7TH DIVISION
17993,80-16-015080,8TH DIVISION
17994,80-16-015078,4TH DIVISION
17995,80-16-015099,7TH DIVISION
17996,80-16-015100,2ND DIVISION
17997,80-16-014966,3RD DIVISION
17998,80-16-015152,5TH DIVISION
17999,80-16-015160,4TH DIVISION
18000,80-16-015556,1ST DIVISION
18001,80-16-015552,2ND DIVISION
18002,80-16-010235,1ST DIVISION
18003,80-16-015314,4TH DIVISION
18004,80-16-006657,7TH DIVISION
18005,80-16-013022,3RD DIVISION
18006,80-16-015575,8TH DIVISION
18007,80-16-010189,6TH DIVISION
18008,80-16-015598,3RD DIVISION
18009,80-16-029531,1ST DIVISION
18010,80-16-014730,3RD DIVISION
18011,80-16-019610,2ND DIVISION
18012,80-16-009894,6TH DIVISION
18013,80-16-015322,METRO LOUISVILLE
18014,80-16-006499,3RD DIVISION
18015,80-16-014718,2ND DIVISION
18016,80-16-017111,3RD DIVISION
18017,80-16-008357,4TH DIVISION
18018,80-16-010252,2ND DIVISION
18019,80-16-015609,8TH DIVISION
18020,80-16-030382,8TH DIVISION
18021,80-16-015577,6TH DIVISION
18022,80-16-015254,4TH DIVISION
18023,80-16-004872,1ST DIVISION
18024,80-16-014733,2ND DIVISION
18025,80-16-010058,6TH DIVISION
18026,80-16-008606,4TH DIVISION
18027,80-16-009911,7TH DIVISION
18028,80-16-029684,3RD DIVISION
18029,80-16-009696,2ND DIVISION
18030,80-16-009696,2ND DIVISION
18031,80-16-010239,6TH DIVISION
18032,80-16-008913,2ND DIVISION
18033,80-16-009092,2ND DIVISION
18034,80-16-010268,2ND DIVISION
18035,80-16-010046,2ND DIVISION
18036,80-16-009585,7TH DIVISION
18037,80-16-009614,7TH DIVISION
18038,80-16-010278,3RD DIVISION
18039,80-16-010255,4TH DIVISION
18040,80-16-009116,4TH DIVISION
18041,80-16-008452,3RD DIVISION
18042,80-16-008532,3RD DIVISION
18043,80-16-008532,3RD DIVISION
18044,80-16-006670,1ST DIVISION
18045,80-16-006368,1ST DIVISION
18046,80-16-006727,7TH DIVISION
18047,80-16-006687,6TH DIVISION
18048,80-16-006426,6TH DIVISION
18049,80-16-006426,6TH DIVISION
18050,80-16-006429,6TH DIVISION
18051,80-16-006316,1ST DIVISION
18052,80-16-006751,1ST DIVISION
18053,80-16-006770,1ST DIVISION
18054,80-16-006769,3RD DIVISION
18055,80-16-006746,6TH DIVISION
18056,80-16-006748,6TH DIVISION
18057,80-16-006749,6TH DIVISION
18058,80-16-006767,4TH DIVISION
18059,80-16-006688,4TH DIVISION
18060,80-16-006561,6TH DIVISION
18061,80-16-006780,3RD DIVISION
18062,80-16-006791,3RD DIVISION
18063,80-16-006758,7TH DIVISION
18064,80-16-006780,3RD DIVISION
18065,80-16-005754,3RD DIVISION
18066,80-16-006809,3RD DIVISION
18067,80-16-006848,4TH DIVISION
18068,80-16-006836,7TH DIVISION
18069,80-16-006856,7TH DIVISION
18070,80-16-006578,7TH DIVISION
18071,80-16-006843,4TH DIVISION
18072,80-16-006880,7TH DIVISION
18073,80-16-006881,7TH DIVISION
18074,80-16-006882,7TH DIVISION
18075,80-16-009887,4TH DIVISION
18076,80-16-006116,7TH DIVISION
18077,80-16-015610,4TH DIVISION
18078,80-16-010017,3RD DIVISION
18079,80-16-015321,3RD DIVISION
18080,80-16-030080,1ST DIVISION
18081,80-16-010308,3RD DIVISION
18082,80-16-014743,7TH DIVISION
18083,80-16-006116,7TH DIVISION
18084,80-16-010028,7TH DIVISION
18085,80-16-009152,7TH DIVISION
18086,80-16-009740,4TH DIVISION
18087,80-16-010032,3RD DIVISION
18088,80-16-008990,2ND DIVISION
18089,80-16-017111,3RD DIVISION
18090,80-16-015349,7TH DIVISION
18091,80-16-019782,METRO LOUISVILLE
18092,80-16-017795,METRO LOUISVILLE
18093,80-16-017795,METRO LOUISVILLE
18094,80-16-019492,1ST DIVISION
18095,80-16-019492,1ST DIVISION
18096,80-16-019030,4TH DIVISION
18097,80-16-018933,4TH DIVISION
18098,80-16-018410,4TH DIVISION
18099,80-16-018124,3RD DIVISION
18100,80-16-018541,4TH DIVISION
18101,80-16-019759,1ST DIVISION
18102,80-16-019714,3RD DIVISION
18103,80-16-018879,5TH DIVISION
18104,80-16-019324,5TH DIVISION
18105,80-16-015334,4TH DIVISION
18106,80-16-015359,7TH DIVISION
18107,80-16-014816,2ND DIVISION
18108,80-16-010771,7TH DIVISION
18109,80-16-014911,3RD DIVISION
18110,80-16-015377,6TH DIVISION
18111,80-16-015389,1ST DIVISION
18112,80-16-014209,8TH DIVISION
18113,80-16-014851,5TH DIVISION
18114,80-16-014468,2ND DIVISION
18115,80-16-014468,2ND DIVISION
18116,80-16-014858,6TH DIVISION
18117,80-16-014858,6TH DIVISION
18118,80-16-014858,6TH DIVISION
18119,80-16-015312,4TH DIVISION
18120,80-16-015501,3RD DIVISION
18121,80-16-015345,4TH DIVISION
18122,80-16-015483,6TH DIVISION
18123,80-16-015518,5TH DIVISION
18124,80-16-015531,2ND DIVISION
18125,80-16-015530,7TH DIVISION
18126,80-16-015542,1ST DIVISION
18127,80-16-015546,8TH DIVISION
18128,80-16-015553,4TH DIVISION
18129,80-16-015554,3RD DIVISION
18130,80-16-030383,7TH DIVISION
18131,80-16-015590,3RD DIVISION
18132,80-16-014754,3RD DIVISION
18133,80-16-039259,3RD DIVISION
18134,80-16-006714,8TH DIVISION
18135,80-16-009983,8TH DIVISION
18136,80-16-006723,3RD DIVISION
18137,80-16-006370,6TH DIVISION
18138,80-16-006739,3RD DIVISION
18139,80-16-006662,2ND DIVISION
18140,80-16-019738,1ST DIVISION
18141,80-16-018439,4TH DIVISION
18142,80-16-010116,8TH DIVISION
18143,80-16-010172,6TH DIVISION
18144,80-16-010172,6TH DIVISION
18145,80-16-010012,3RD DIVISION
18146,80-16-010200,4TH DIVISION
18147,80-16-010215,4TH DIVISION
18148,80-16-010213,6TH DIVISION
18149,80-16-010196,6TH DIVISION
18150,80-16-010091,1ST DIVISION
18151,80-16-010092,1ST DIVISION
18152,80-16-010206,5TH DIVISION
18153,80-16-010426,2ND DIVISION
18154,80-16-010494,3RD DIVISION
18155,80-16-010886,8TH DIVISION
18156,80-16-010928,3RD DIVISION
18157,80-16-011074,4TH DIVISION
18158,80-16-011093,7TH DIVISION
18159,80-16-011163,5TH DIVISION
18160,80-16-011263,5TH DIVISION
18161,80-16-011287,7TH DIVISION
18162,80-16-010993,4TH DIVISION
18163,80-16-011337,3RD DIVISION
18164,80-16-011397,7TH DIVISION
18165,80-16-011509,3RD DIVISION
18166,80-16-012196,7TH DIVISION
18167,80-16-012284,4TH DIVISION
18168,80-16-012731,5TH DIVISION
18169,80-16-012861,3RD DIVISION
18170,80-16-012982,3RD DIVISION
18171,80-16-013042,7TH DIVISION
18172,80-16-013225,2ND DIVISION
18173,80-16-013520,8TH DIVISION
18174,80-16-013680,1ST DIVISION
18175,80-16-013686,5TH DIVISION
18176,80-16-013798,1ST DIVISION
18177,80-16-013983,7TH DIVISION
18178,80-16-014090,1ST DIVISION
18179,80-16-010044,3RD DIVISION
18180,80-16-030384,3RD DIVISION
18181,80-16-015635,4TH DIVISION
18182,80-16-038945,1ST DIVISION
18183,80-16-014768,8TH DIVISION
18184,80-16-009975,3RD DIVISION
18185,80-16-030320,4TH DIVISION
18186,80-16-015121,5TH DIVISION
18187,80-16-039603,2ND DIVISION
18188,80-16-014724,3RD DIVISION
18189,80-16-009082,3RD DIVISION
18190,80-16-029983,7TH DIVISION
18191,80-16-015565,1ST DIVISION
18192,80-16-015660,6TH DIVISION
18193,80-16-015660,6TH DIVISION
18194,80-16-015672,4TH DIVISION
18195,80-16-015589,2ND DIVISION
18196,80-16-015311,7TH DIVISION
18197,80-16-015083,3RD DIVISION
18198,80-16-015083,3RD DIVISION
18199,80-16-015671,8TH DIVISION
18200,80-16-015331,6TH DIVISION
18201,80-16-015174,7TH DIVISION
18202,80-16-014860,3RD DIVISION
18203,80-16-015693,7TH DIVISION
18204,80-16-015343,3RD DIVISION
18205,80-16-014496,3RD DIVISION
18206,80-16-014240,6TH DIVISION
18207,80-16-015363,6TH DIVISION
18208,80-16-015363,6TH DIVISION
18209,80-16-015363,6TH DIVISION
18210,80-16-014521,4TH DIVISION
18211,80-16-040494,2ND DIVISION
18212,80-16-040788,3RD DIVISION
18213,80-16-030300,2ND DIVISION
18214,80-16-030460,3RD DIVISION
18215,80-16-030447,3RD DIVISION
18216,80-16-030445,7TH DIVISION
18217,80-16-030491,4TH DIVISION
18218,80-16-028476,METRO LOUISVILLE
18219,80-16-029402,3RD DIVISION
18220,80-16-029867,4TH DIVISION
18221,80-16-030490,8TH DIVISION
18222,80-16-029259,2ND DIVISION
18223,80-16-030054,1ST DIVISION
18224,80-16-029969,4TH DIVISION
18225,80-16-030039,4TH DIVISION
18226,80-16-030516,2ND DIVISION
18227,80-16-030526,4TH DIVISION
18228,80-16-030525,5TH DIVISION
18229,80-16-030527,3RD DIVISION
18230,80-16-039586,7TH DIVISION
18231,80-16-039612,7TH DIVISION
18232,80-16-039119,METRO LOUISVILLE
18233,80-16-029983,7TH DIVISION
18234,80-16-014788,5TH DIVISION
18235,80-16-039634,3RD DIVISION
18236,80-16-009317,4TH DIVISION
18237,80-16-030356,7TH DIVISION
18238,80-16-014506,6TH DIVISION
18239,80-16-030396,7TH DIVISION
18240,80-16-038634,3RD DIVISION
18241,80-16-009993,7TH DIVISION
18242,80-16-014827,2ND DIVISION
18243,80-16-030063,3RD DIVISION
18244,80-16-039598,4TH DIVISION
18245,80-16-030221,4TH DIVISION
18246,80-16-009966,8TH DIVISION
18247,80-16-014832,1ST DIVISION
18248,80-16-038853,1ST DIVISION
18249,80-16-030093,3RD DIVISION
18250,80-16-039691,7TH DIVISION
18251,80-16-014892,8TH DIVISION
18252,80-16-038853,1ST DIVISION
18253,80-16-030257,7TH DIVISION
18254,80-16-037169,5TH DIVISION
18255,80-16-014893,8TH DIVISION
18256,80-16-014898,8TH DIVISION
18257,80-16-014922,7TH DIVISION
18258,80-16-014931,7TH DIVISION
18259,80-16-014932,3RD DIVISION
18260,80-16-014962,5TH DIVISION
18261,80-16-014971,6TH DIVISION
18262,80-16-014833,3RD DIVISION
18263,80-16-014972,2ND DIVISION
18264,80-16-015021,3RD DIVISION
18265,80-16-014818,6TH DIVISION
18266,80-16-014985,2ND DIVISION
18267,80-16-015043,2ND DIVISION
18268,80-16-015045,3RD DIVISION
18269,80-16-015005,3RD DIVISION
18270,80-16-013411,3RD DIVISION
18271,80-16-015105,2ND DIVISION
18272,80-16-015126,2ND DIVISION
18273,80-16-015105,2ND DIVISION
18274,80-16-015146,3RD DIVISION
18275,80-16-015167,5TH DIVISION
18276,80-16-015168,3RD DIVISION
18277,80-16-015169,3RD DIVISION
18278,80-16-015189,3RD DIVISION
18279,80-16-015201,3RD DIVISION
18280,80-16-015202,5TH DIVISION
18281,80-16-015215,2ND DIVISION
18282,80-16-015164,4TH DIVISION
18283,80-16-015188,2ND DIVISION
18284,80-16-015223,2ND DIVISION
18285,80-16-015233,3RD DIVISION
18286,80-16-015076,7TH DIVISION
18287,80-16-015242,7TH DIVISION
18288,80-16-015270,4TH DIVISION
18289,80-16-015243,6TH DIVISION
18290,80-16-015253,4TH DIVISION
18291,80-16-015235,1ST DIVISION
18292,80-16-015275,4TH DIVISION
18293,80-16-039401,8TH DIVISION
18294,80-16-030419,8TH DIVISION
18295,80-16-029148,1ST DIVISION
18296,80-16-039022,2ND DIVISION
18297,80-16-039599,4TH DIVISION
18298,80-16-027772,3RD DIVISION
18299,80-16-039710,1ST DIVISION
18300,80-16-032468,6TH DIVISION
18301,80-16-029895,4TH DIVISION
18302,80-16-039022,2ND DIVISION
18303,80-16-032128,2ND DIVISION
18304,80-16-030426,4TH DIVISION
18305,80-16-029946,1ST DIVISION
18306,80-16-030347,3RD DIVISION
18307,80-16-030454,7TH DIVISION
18308,80-16-030533,2ND DIVISION
18309,80-16-030550,6TH DIVISION
18310,80-16-030566,6TH DIVISION
18311,80-16-030340,4TH DIVISION
18312,80-16-030345,6TH DIVISION
18313,80-16-030601,4TH DIVISION
18314,80-16-030584,1ST DIVISION
18315,80-16-030600,5TH DIVISION
18316,80-16-030603,1ST DIVISION
18317,80-16-030627,3RD DIVISION
18318,80-16-030598,1ST DIVISION
18319,80-16-030670,6TH DIVISION
18320,80-16-030669,2ND DIVISION
18321,80-16-030644,2ND DIVISION
18322,80-16-030593,4TH DIVISION
18323,80-16-030677,6TH DIVISION
18324,80-16-030658,5TH DIVISION
18325,80-16-030690,4TH DIVISION
18326,80-16-030151,4TH DIVISION
18327,80-16-030471,4TH DIVISION
18328,80-16-030481,2ND DIVISION
18329,80-16-030539,7TH DIVISION
18330,80-16-030564,4TH DIVISION
18331,80-16-028793,2ND DIVISION
18332,80-16-040304,1ST DIVISION
18333,80-16-009985,2ND DIVISION
18334,80-16-009994,6TH DIVISION
18335,80-16-009894,6TH DIVISION
18336,80-16-039454,6TH DIVISION
18337,80-16-039711,6TH DIVISION
18338,80-16-039455,6TH DIVISION
18339,80-16-037494,1ST DIVISION
18340,80-16-039757,1ST DIVISION
18341,80-16-039617,7TH DIVISION
18342,80-16-038843,4TH DIVISION
18343,80-16-037923,5TH DIVISION
18344,80-16-039797,8TH DIVISION
18345,80-16-039651,6TH DIVISION
18346,80-16-039804,2ND DIVISION
18347,80-16-039669,5TH DIVISION
18348,80-16-039795,7TH DIVISION
18349,80-16-039684,METRO LOUISVILLE
18350,80-16-039795,7TH DIVISION
18351,80-16-039686,7TH DIVISION
18352,80-16-039806,3RD DIVISION
18353,80-16-039681,1ST DIVISION
18354,80-16-039762,5TH DIVISION
18355,80-16-040051,8TH DIVISION
18356,80-16-040069,3RD DIVISION
18357,80-16-030489,7TH DIVISION
18358,80-16-030064,5TH DIVISION
18359,80-16-030321,1ST DIVISION
18360,80-16-030501,1ST DIVISION
18361,80-16-030504,8TH DIVISION
18362,80-16-030502,4TH DIVISION
18363,80-16-021746,2ND DIVISION
18364,80-16-030179,1ST DIVISION
18365,80-16-030069,4TH DIVISION
18366,80-16-029755,3RD DIVISION
18367,80-16-030519,3RD DIVISION
18368,80-16-029764,6TH DIVISION
18369,80-16-029791,2ND DIVISION
18370,80-16-030468,7TH DIVISION
18371,80-16-030508,6TH DIVISION
18372,80-16-030529,6TH DIVISION
18373,80-16-030532,7TH DIVISION
18374,80-16-030532,7TH DIVISION
18375,80-16-030543,7TH DIVISION
18376,80-16-030363,8TH DIVISION
18377,80-16-030364,1ST DIVISION
18378,80-16-027252,1ST DIVISION
18379,80-16-029531,1ST DIVISION
18380,80-16-039640,1ST DIVISION
18381,80-16-039735,2ND DIVISION
18382,80-16-039751,4TH DIVISION
18383,80-16-010284,8TH DIVISION
18384,80-16-008245,4TH DIVISION
18385,80-16-008245,4TH DIVISION
18386,80-16-008532,3RD DIVISION
18387,80-16-018419,4TH DIVISION
18388,80-16-019725,3RD DIVISION
18389,80-16-018927,4TH DIVISION
18390,80-16-018439,4TH DIVISION
18391,80-16-018439,4TH DIVISION
18392,80-16-018439,4TH DIVISION
18393,80-16-019715,3RD DIVISION
18394,80-16-019262,4TH DIVISION
18395,80-16-019699,3RD DIVISION
18396,80-16-019074,3RD DIVISION
18397,80-16-019746,1ST DIVISION
18398,80-16-018437,6TH DIVISION
18399,80-16-018437,6TH DIVISION
18400,80-16-019904,7TH DIVISION
18401,80-16-042899,2ND DIVISION
18402,80-16-019984,3RD DIVISION
18403,80-16-014767,6TH DIVISION
18404,80-16-043005,2ND DIVISION
18405,80-16-019624,1ST DIVISION
18406,80-16-020006,3RD DIVISION
18407,80-16-019978,1ST DIVISION
18408,80-16-018565,7TH DIVISION
18409,80-16-020020,4TH DIVISION
18410,80-16-020023,4TH DIVISION
18411,80-16-020033,7TH DIVISION
18412,80-16-033656,7TH DIVISION
18413,80-16-033668,8TH DIVISION
18414,80-16-033498,4TH DIVISION
18415,80-16-033676,6TH DIVISION
18416,80-16-033650,4TH DIVISION
18417,80-16-033650,4TH DIVISION
18418,80-16-033293,4TH DIVISION
18419,80-16-026766,3RD DIVISION
18420,80-16-030315,2ND DIVISION
18421,80-16-033695,1ST DIVISION
18422,80-16-033705,6TH DIVISION
18423,80-16-033015,3RD DIVISION
18424,80-16-044055,4TH DIVISION
18425,80-16-044046,3RD DIVISION
18426,80-16-043171,2ND DIVISION
18427,80-16-044058,4TH DIVISION
18428,80-16-043982,7TH DIVISION
18429,80-16-044026,5TH DIVISION
18430,80-16-044096,6TH DIVISION
18431,80-16-044095,8TH DIVISION
18432,80-16-044110,5TH DIVISION
18433,80-16-044094,7TH DIVISION
18434,80-16-044044,METRO LOUISVILLE
18435,80-16-044108,6TH DIVISION
18436,80-16-043686,6TH DIVISION
18437,80-16-043518,4TH DIVISION
18438,80-16-042648,6TH DIVISION
18439,80-16-043578,7TH DIVISION
18440,80-16-038175,5TH DIVISION
18441,80-16-039802,6TH DIVISION
18442,80-16-038235,4TH DIVISION
18443,80-16-039811,8TH DIVISION
18444,80-16-039812,8TH DIVISION
18445,80-16-039164,3RD DIVISION
18446,80-16-037915,2ND DIVISION
18447,80-16-039432,5TH DIVISION
18448,80-16-039752,2ND DIVISION
18449,80-16-039851,3RD DIVISION
18450,80-16-039494,4TH DIVISION
18451,80-16-039619,7TH DIVISION
18452,80-16-039610,3RD DIVISION
18453,80-16-015419,7TH DIVISION
18454,80-16-039538,6TH DIVISION
18455,80-16-043200,7TH DIVISION
18456,80-16-038268,5TH DIVISION
18457,80-16-039142,1ST DIVISION
18458,80-16-037180,3RD DIVISION
18459,80-16-039829,3RD DIVISION
18460,80-16-037180,3RD DIVISION
18461,80-16-037000,7TH DIVISION
18462,80-16-039365,3RD DIVISION
18463,80-16-039056,4TH DIVISION
18464,80-16-039342,7TH DIVISION
18465,80-16-039007,5TH DIVISION
18466,80-16-039553,7TH DIVISION
18467,80-16-034361,6TH DIVISION
18468,80-16-039046,1ST DIVISION
18469,80-16-039447,8TH DIVISION
18470,80-16-039601,7TH DIVISION
18471,80-16-032468,6TH DIVISION
18472,80-16-039607,3RD DIVISION
18473,80-16-039581,2ND DIVISION
18474,80-16-039626,6TH DIVISION
18475,80-16-039637,3RD DIVISION
18476,80-16-037476,3RD DIVISION
18477,80-16-037476,3RD DIVISION
18478,80-16-038577,6TH DIVISION
18479,80-16-038577,6TH DIVISION
18480,80-16-039625,8TH DIVISION
18481,80-16-030264,4TH DIVISION
18482,80-16-039646,3RD DIVISION
18483,80-16-039741,3RD DIVISION
18484,80-16-039764,5TH DIVISION
18485,80-16-039722,4TH DIVISION
