dr_id,INCIDENT_NUMBER,LMPD_DIVISION
173,80-16-104968,METRO LOUISVILLE
174,80-17-086738,4TH DIVISION
175,80-17-086527,4TH DIVISION
176,80-17-086746,4TH DIVISION
177,80-17-086742,4TH DIVISION
178,80-16-077017,5TH DIVISION
179,80-16-110481,6TH DIVISION
180,80-16-074740,1ST DIVISION
181,80-16-102873,3RD DIVISION
182,80-16-069446,6TH DIVISION
183,80-16-014222,8TH DIVISION
184,80-16-014222,8TH DIVISION
185,80-16-066999,5TH DIVISION
186,80-16-038002,6TH DIVISION
187,80-16-021959,7TH DIVISION
188,80-16-033184,1ST DIVISION
189,80-16-092787,3RD DIVISION
190,80-16-049272,2ND DIVISION
191,80-16-001307,1ST DIVISION
192,80-17-074569,3RD DIVISION
193,80-16-000498,4TH DIVISION
194,80-16-000604,METRO LOUISVILLE
195,80-16-000611,METRO LOUISVILLE
196,80-16-095256,4TH DIVISION
197,80-16-000552,METRO LOUISVILLE
198,80-16-000595,4TH DIVISION
199,80-16-000608,4TH DIVISION
200,80-16-011545,3RD DIVISION
201,80-16-011608,4TH DIVISION
202,80-16-011990,4TH DIVISION
203,80-16-011608,4TH DIVISION
204,80-16-011608,4TH DIVISION
205,80-16-011608,4TH DIVISION
206,80-16-011851,4TH DIVISION
207,80-16-011739,4TH DIVISION
208,80-16-011895,8TH DIVISION
209,80-16-011895,8TH DIVISION
210,80-16-012583,8TH DIVISION
211,80-16-022486,8TH DIVISION
212,80-16-022487,1ST DIVISION
213,80-16-022408,1ST DIVISION
214,80-16-022408,1ST DIVISION
215,80-16-022520,2ND DIVISION
216,80-16-022472,4TH DIVISION
217,80-16-022528,4TH DIVISION
218,80-16-022548,8TH DIVISION
219,80-16-022567,6TH DIVISION
220,80-16-022561,7TH DIVISION
221,80-16-022118,3RD DIVISION
222,80-16-022182,3RD DIVISION
223,80-16-021920,5TH DIVISION
224,80-16-022210,7TH DIVISION
225,80-16-022221,7TH DIVISION
226,80-16-022240,7TH DIVISION
227,80-16-022200,1ST DIVISION
228,80-16-021513,7TH DIVISION
229,80-16-022329,5TH DIVISION
230,80-16-011982,6TH DIVISION
231,80-16-021880,7TH DIVISION
232,80-16-018507,7TH DIVISION
233,80-16-022605,3RD DIVISION
234,80-16-020717,7TH DIVISION
235,80-16-022604,5TH DIVISION
236,80-16-022485,5TH DIVISION
237,80-16-020078,4TH DIVISION
238,80-16-012231,4TH DIVISION
239,80-16-007803,2ND DIVISION
240,80-16-012582,4TH DIVISION
241,80-16-012615,2ND DIVISION
242,80-16-012628,8TH DIVISION
243,80-16-012654,7TH DIVISION
244,80-16-012655,5TH DIVISION
245,80-16-012657,6TH DIVISION
246,80-16-012677,2ND DIVISION
247,80-16-012642,1ST DIVISION
248,80-16-012690,3RD DIVISION
249,80-16-012595,2ND DIVISION
250,80-16-096672,4TH DIVISION
251,80-16-005853,5TH DIVISION
252,80-16-003768,7TH DIVISION
253,80-16-046258,4TH DIVISION
254,80-16-047014,7TH DIVISION
255,80-16-110129,4TH DIVISION
256,80-16-092466,7TH DIVISION
257,80-16-103672,3RD DIVISION
258,80-16-103672,3RD DIVISION
259,80-16-109237,3RD DIVISION
260,80-16-067252,3RD DIVISION
261,80-16-022404,5TH DIVISION
262,80-16-022438,2ND DIVISION
263,80-16-022417,6TH DIVISION
264,80-16-022453,1ST DIVISION
265,80-16-020869,2ND DIVISION
266,80-16-072024,4TH DIVISION
267,80-16-052261,3RD DIVISION
268,80-16-079418,1ST DIVISION
269,80-16-111493,4TH DIVISION
270,80-16-058207,4TH DIVISION
271,80-16-061297,2ND DIVISION
272,80-16-091807,6TH DIVISION
273,80-16-016863,2ND DIVISION
274,80-16-050318,3RD DIVISION
275,80-16-102688,1ST DIVISION
276,80-16-032000,7TH DIVISION
277,80-16-110640,2ND DIVISION
278,80-16-000860,6TH DIVISION
279,80-16-000891,3RD DIVISION
280,80-16-001017,2ND DIVISION
281,80-16-001031,3RD DIVISION
282,80-16-001070,3RD DIVISION
283,80-16-001106,3RD DIVISION
284,80-16-001227,3RD DIVISION
285,80-16-001433,4TH DIVISION
286,80-16-001622,2ND DIVISION
287,80-16-001855,7TH DIVISION
288,80-16-001919,1ST DIVISION
289,80-16-002137,4TH DIVISION
290,80-16-002193,8TH DIVISION
291,80-16-002275,2ND DIVISION
292,80-16-002331,3RD DIVISION
293,80-16-003073,3RD DIVISION
294,80-16-003253,2ND DIVISION
295,80-16-022491,6TH DIVISION
296,80-16-022105,1ST DIVISION
297,80-16-022503,5TH DIVISION
298,80-16-011496,3RD DIVISION
299,80-16-011539,3RD DIVISION
300,80-16-022431,1ST DIVISION
301,80-16-042755,5TH DIVISION
302,80-16-042755,5TH DIVISION
303,80-16-026381,2ND DIVISION
304,80-16-082795,3RD DIVISION
305,80-16-106232,7TH DIVISION
306,80-16-106514,8TH DIVISION
307,80-16-106514,8TH DIVISION
308,80-16-106514,8TH DIVISION
309,80-16-090894,2ND DIVISION
310,80-16-102138,5TH DIVISION
311,80-16-078200,7TH DIVISION
312,80-16-043725,3RD DIVISION
313,80-16-103082,7TH DIVISION
314,80-16-086573,8TH DIVISION
315,80-16-101304,6TH DIVISION
316,80-16-039334,5TH DIVISION
317,80-16-092780,6TH DIVISION
318,80-16-052261,3RD DIVISION
319,80-16-052261,3RD DIVISION
320,80-16-052261,3RD DIVISION
321,80-16-080018,6TH DIVISION
322,80-16-034204,2ND DIVISION
323,80-16-030132,7TH DIVISION
324,80-16-017812,2ND DIVISION
325,80-16-096975,4TH DIVISION
326,80-16-043190,5TH DIVISION
327,80-16-070235,3RD DIVISION
328,80-16-074308,3RD DIVISION
329,80-16-100833,2ND DIVISION
330,80-16-090374,1ST DIVISION
331,80-16-096960,4TH DIVISION
332,80-16-094193,4TH DIVISION
333,80-16-065060,6TH DIVISION
334,80-16-103672,3RD DIVISION
335,80-16-103672,3RD DIVISION
336,80-16-056928,6TH DIVISION
337,80-16-065065,4TH DIVISION
338,80-16-092696,4TH DIVISION
339,80-16-065023,8TH DIVISION
340,80-20-034023,8TH DIVISION
341,80-16-065065,4TH DIVISION
342,80-16-092696,4TH DIVISION
343,80-16-092696,4TH DIVISION
344,80-16-065031,3RD DIVISION
345,80-16-065038,6TH DIVISION
346,80-16-003650,2ND DIVISION
347,80-16-003324,2ND DIVISION
348,80-16-004066,3RD DIVISION
349,80-16-004068,7TH DIVISION
350,80-16-012595,2ND DIVISION
351,80-16-012740,3RD DIVISION
352,80-16-012739,6TH DIVISION
353,80-16-012418,6TH DIVISION
354,80-16-012198,3RD DIVISION
355,80-16-012188,2ND DIVISION
356,80-16-012406,2ND DIVISION
357,80-16-011051,1ST DIVISION
358,80-16-011051,1ST DIVISION
359,80-16-011587,2ND DIVISION
360,80-16-012159,7TH DIVISION
361,80-16-012555,7TH DIVISION
362,80-16-022536,1ST DIVISION
